Zeitstempel,Anfangsbuchstabe des Vornamens Ihrer Mutter,Anfangsbuchstabe des Mädchennamens Ihrer Mutter,Dritter Buchstabe des Geburtsmonats Ihrer Mutter,Anfangsbuchstabe Ihres Geburtsortes ,Anfangsbuchstabe des Vornamens Ihres Vaters,Geschlecht,Ihr Alter in Jahren:,Wie häufig machen Sie in der Woche Sport?,Welche Sportarten machen Sie? (mehrere Antworten möglich),"Haben Sie schonmal Sport-Apps genutzt? (Z.B. Apple Sports, Adidas Running App, Komoot, Nike Training Club, Freeletics, Urban Sports Club, Stava, etc.)  ","Warum üben Sie Sport aus?   [Wegen der Begeisterung, die ich empfinde, wenn ich wirklich an einer Aktivität beteiligt bin]","Warum üben Sie Sport aus?   [Weil es die Art und Weise ist, wie ich mein Leben leben möchte]","Warum üben Sie Sport aus?   [Weil es eine gute Möglichkeit ist, viele Dinge zu lernen, die mir in anderen Bereichen meines Lebens nützlich sein könnten]","Warum üben Sie Sport aus?   [Weil es mir erlaubt, bei den Menschen, die ich kenne, gut angesehen zu sein]","Warum üben Sie Sport aus?   [Ich weiß es nicht mehr; ich habe den Eindruck, dass ich in meiner Sportart nicht erfolgreich sein kann]","Warum üben Sie Sport aus?   [Weil ich eine große persönliche Befriedigung empfinde, wenn ich bestimmte schwierige Trainingstechniken beherrsche]","Warum üben Sie Sport aus?   [Weil es absolut notwendig ist, Sport zu treiben, wenn man in Form sein will]","Warum üben Sie Sport aus?   [Weil es eine der besten Möglichkeiten ist, um andere Aspekte meines Lebens weiter zu entwickeln]",Warum üben Sie Sport aus?   [Weil er ein Teil von mir ist],"Warum üben Sie Sport aus?   [Weil ich Sport treiben muss, um mich selbst gut zu fühlen]",Warum üben Sie Sport aus?   [Wegen des Ansehens eines Sportlers / einer Sportlerin],"Warum üben Sie Sport aus?   [Ich weiß nicht, ob ich weiterhin so viel Zeit und Mühe in meinen Sport investieren möchte]",Warum üben Sie Sport aus?   [Weil die Teilnahme an meinem Sport mit meinen innersten Grundsätzen übereinstimmt],"Warum üben Sie Sport aus?   [Wegen der Zufriedenheit, die ich erfahre, während ich meine Fähigkeiten perfektioniere]","Warum üben Sie Sport aus?   [Weil es eine der besten Möglichkeiten ist, gute Beziehungen zu meinen FreundInnen zu pflegen]","Warum üben Sie Sport aus?   [Weil ich mich schlecht fühlen würde, wenn ich mir keine Zeit dafür nehmen würde]","Warum üben Sie Sport aus?   [Es ist mir nicht mehr klar. Ich glaube nicht, dass Sport noch weiterhin was für mich ist.]","Warum üben Sie Sport aus?   [Ich empfinde Freude daran neue Strategien auszuprobieren, um meine Leistung zu verbessern.]","Warum üben Sie Sport aus?   [Wegen der materiellen oder sozialen Vorteile, die man als SportlerIn hat]",Warum üben Sie Sport aus?   [Weil ich durch hartes Training meine Leistung verbessern kann],Warum üben Sie Sport aus?   [Weil die Teilnahme an meinem Sport ein fester Bestandteil meines Lebens ist],"Warum üben Sie Sport aus?   [Ich habe das Gefühl, dass mir mein Sport nicht mehr so viel Spaß macht wie früher]",Warum üben Sie Sport aus?   [Weil ich regelmäßig Sport treiben muss],"Warum üben Sie Sport aus?   [Um anderen zu zeigen, wie gut ich in meinem Sport bin]",Wie oft benutzen Sie eine Sport-App?  ,Wofür benutzen Sie Sport-Apps? (mehrere Antworten möglich)  ,"Glauben Sie, dass Sie Ihre Sportlichen Ziele durch Benutzung einer Sport-App effizienter erreichen können? ","Motiviert es Sie, wenn Sie Ihre Leistungen mit denen Ihrer Freunde vergleichen?  "
05.06.2023 10:14:12,H,F,V,B,F,Männlich,23,1-2 mal die Woche,Rudern,Nein,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,Nie,"Option für Personen, die keine App nutzen fehlt. ",Ja,Ja
05.06.2023 10:20:18,S,J,R,K,P,Weiblich,17,5-6 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Tanzen",Ja,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,Nie,Zum Tracken meiner Leistungen,Nein,Nein
05.06.2023 10:26:46,N,Z,R,K,D,Weiblich,22,1-2 mal die Woche,Kraftsport,Ja,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um einen Sport-Zeitplan zu erstellen",Ja,Nein
05.06.2023 10:28:34,D,E,T,K,J,Weiblich,18,3-4 mal die Woche,"Joggen, Kraftsport, Fitness-Kurse, Tanzen",Ja,4 - trifft zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,5 - trifft voll zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,3- trifft teilweise zu,Bei jedem Training,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen",Ja,Ja
05.06.2023 10:30:02,B,N,L,M,N,Männlich,30,3-4 mal die Woche,"Joggen, Kraftsport, Fahrrad",Ja,4 - trifft zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Joggen km Erfassen",Ja,Ja
05.06.2023 10:30:49,B,B,R,W,S,Männlich,24,3-4 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,3- trifft teilweise zu,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um Kurse zu Buchen",Ja,Ja
05.06.2023 10:31:41,S,R,B,O,M,Männlich,23,3-4 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,5 - trifft voll zu,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,5 - trifft voll zu,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Ja,Ja
05.06.2023 10:32:25,C,H,T,S,M,Weiblich,25,1-2 mal die Woche,Tanzen,Ja,4 - trifft zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,5 - trifft voll zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,Nie,"Um das Training meiner Freunde zu verfolgen, Um motivierter zu sein beim Sport",Nein,Nein
05.06.2023 10:33:10,I,R,T,P,R,Männlich,35,5-6 mal die Woche,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,5 - trifft voll zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um motivierter zu sein beim Sport",Ja,Ja
05.06.2023 10:33:33,A,B,B,W,J,Männlich,23,3-4 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Tanzen, Bouldern",Ja,5 - trifft voll zu,5 - trifft voll zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,4 - trifft zu,4 - trifft zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,5 - trifft voll zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um einen Sport-Zeitplan zu erstellen",Ja,Ja
05.06.2023 10:40:03,A,K,R,K,R,Weiblich,23,3-4 mal die Woche,"Kraftsport, Tanzen",Nein,3- trifft teilweise zu,5 - trifft voll zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,5 - trifft voll zu,5 - trifft voll zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,3- trifft teilweise zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um Kurse zu Buchen, Um motivierter zu sein beim Sport",Ja,Ja
05.06.2023 10:41:09,C,H,M,O,M,Weiblich,32,1-2 mal die Woche,Joggen,Nein,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,Nie,"Um Kurse zu Buchen, ",Nein,Nein
05.06.2023 10:41:52,M,B,V,T,W,Weiblich,23,1-2 mal die Woche,Fitness-Kurse,Ja,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,3- trifft teilweise zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,5 - trifft voll zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Ja,Nein
05.06.2023 10:43:30,E,P,V,M,J,Weiblich,23,3-4 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Fitness-Kurse",Ja,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,1 - trifft gar nicht zu,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,3- trifft teilweise zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,2 - trifft nicht zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,Bei wenigen Trainings,Um Kurse zu Buchen,Nein,Nein
05.06.2023 10:44:31,S,M,B,E,A,Männlich,25,3-4 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Nein,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,5 - trifft voll zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,2 - trifft nicht zu,5 - trifft voll zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,Nie,Nein,Nein,Nein
05.06.2023 10:47:00,D,E,T,L,J,Weiblich,20,3-4 mal die Woche,"Kraftsport, Fitness-Kurse, Tanzen",Ja,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,5 - trifft voll zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,5 - trifft voll zu,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Nein,Nein
05.06.2023 10:48:04,U,B,T,B,H,Männlich,27,1-2 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Schwimmen",Ja,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Ja,Nein
05.06.2023 10:48:13,A,H,i,H,W,Männlich,24,1-2 mal die Woche,"Kraftsport, Fitness-Kurse",Ja,5 - trifft voll zu,4 - trifft zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen",Ja,Nein
05.06.2023 11:01:42,S,G,S,D,S,Weiblich,23,1-2 mal die Woche,"Joggen, Yoga",Ja,4 - trifft zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um einen Sport-Zeitplan zu erstellen",Ja,Nein
05.06.2023 11:04:49,I,G,R,H,F,Männlich,30,3-4 mal die Woche,Kraftsport,Ja,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,Bei jedem Training,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Ja
05.06.2023 11:06:59,S,C,b,B,G,Männlich,23,Gar nicht,Joggen,Ja,3- trifft teilweise zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,5 - trifft voll zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um motivierter zu sein beim Sport",Ja,Nein
05.06.2023 11:16:46,T,H,V,H,M,Männlich,27,3-4 mal die Woche,"Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.)",Ja,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,4 - trifft zu,5 - trifft voll zu,5 - trifft voll zu,4 - trifft zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,5 - trifft voll zu,3- trifft teilweise zu,Bei dem Großteil meiner Trainings,Zum Tracken meiner Leistungen,Ja,Ja
05.06.2023 11:22:11,A,F,N,I,U,Weiblich,22,3-4 mal die Woche,"Tanzen, Aerial Hoop",Nein,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,1 - trifft gar nicht zu,5 - trifft voll zu,2 - trifft nicht zu,5 - trifft voll zu,4 - trifft zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,Nie,Um Kurse zu Buchen,Nein,Ja
05.06.2023 11:49:40,N,K,T,S,R,Männlich,23,3-4 mal die Woche,"Joggen, Kraftsport, Kampfsport, Selbstverteidigung",Ja,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,5 - trifft voll zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,Bei dem Großteil meiner Trainings,Um motivierter zu sein beim Sport,Ja,Nein
05.06.2023 11:56:02,M,H,I,G,R,Männlich,59,3-4 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Schwimmen, Fitness-Kurse",Ja,5 - trifft voll zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,3- trifft teilweise zu,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,Bei wenigen Trainings,Zum Tracken meiner Leistungen,Ja,Nein
05.06.2023 12:00:43,K,B,N,A,P,Weiblich,23,1-2 mal die Woche,"Fitness-Kurse, Tanzen",Nein,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,Bei wenigen Trainings,Um Kurse zu Buchen,Nein,Nein
05.06.2023 12:01:23,L,T,I,Z,F,Männlich,34,Gar nicht,Keine,Ja,1 - trifft gar nicht zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,4 - trifft zu,2 - trifft nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,4 - trifft zu,1 - trifft gar nicht zu,Bei wenigen Trainings,"Um mir Ziele zu setzen, Um zu wissen wie man Sportübungen korrekt ausführt ",Ja,Ja
05.06.2023 12:08:00,R,S,N,K,T,Männlich,23,5-6 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Klettern",Ja,5 - trifft voll zu,5 - trifft voll zu,3- trifft teilweise zu,3- trifft teilweise zu,2 - trifft nicht zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,2 - trifft nicht zu,2 - trifft nicht zu,4 - trifft zu,5 - trifft voll zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,5 - trifft voll zu,2 - trifft nicht zu,3- trifft teilweise zu,4 - trifft zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen, Um motivierter zu sein beim Sport",Ja,Ja
05.06.2023 12:13:12,D,P,R,D,-,Weiblich,23,3-4 mal die Woche,"Joggen, Fitness-Kurse, Tanzen",Ja,4 - trifft zu,4 - trifft zu,4 - trifft zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,3- trifft teilweise zu,5 - trifft voll zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,1 - trifft gar nicht zu,4 - trifft zu,5 - trifft voll zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,Bei wenigen Trainings,Workouts,Nein,Nein
05.06.2023 12:13:35,S,S,I,B,L,Männlich,23,3-4 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Klettern",Ja,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,5 - trifft voll zu,4 - trifft zu,3- trifft teilweise zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,2 - trifft nicht zu,3- trifft teilweise zu,3- trifft teilweise zu,5 - trifft voll zu,4 - trifft zu,1 - trifft gar nicht zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,2 - trifft nicht zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um Kurse zu Buchen",Ja,Nein
05.06.2023 12:14:26,A,R,N,W,L,Weiblich,23,1-2 mal die Woche,"Joggen, Tennis",Ja,3- trifft teilweise zu,4 - trifft zu,2 - trifft nicht zu,2 - trifft nicht zu,1 - trifft gar nicht zu,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,4 - trifft zu,3- trifft teilweise zu,1 - trifft gar nicht zu,1 - trifft gar nicht zu,4 - trifft zu,4 - trifft zu,2 - trifft nicht zu,4 - trifft zu,1 - trifft gar nicht zu,5 - trifft voll zu,2 - trifft nicht zu,4 - trifft zu,5 - trifft voll zu,1 - trifft gar nicht zu,2 - trifft nicht zu,2 - trifft nicht zu,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um motivierter zu sein beim Sport",Ja,Nein
